qt_posts_comendo_milho,quantidade_de_fofura,n_de_aves_no_reels,uso_de_chapeu_de_palha,n_lagoas_visitadas,cor_do_lacinho,freq_banho_sol,tipo_de_trilha_sonora,nivel_interacao_humanos,viralizou
3,8.228012885292058,4,0,2,rosa,4,drum’n’bass,0.44386633478116333,1
4,9.672719403577577,1,1,1,rosa,4,sertanejo,4.324974881038882,1
1,6.516927718145666,6,1,1,azul,1,funk rave,1.6030995327511337,1
3,8.909454564984449,1,1,2,azul,5,drum’n’bass,0.8916575621410816,1
4,8.829293219423711,0,1,4,rosa,7,drum’n’bass,1.1968491817102316,1
2,8.458278259332708,7,0,0,nenhum,2,funk rave,2.0898425400694354,1
2,9.828194876334003,6,1,1,amarelo,0,lo-fi,1.255960023022336,1
2,6.9677766805315775,5,1,4,rosa,4,drum’n’bass,1.602837930082495,1
4,5.653586617948786,6,1,2,nenhum,0,lo-fi,0.6748924303582104,1
5,8.358544296220304,7,1,1,rosa,3,lo-fi,1.4808838277949925,1
2,8.646549002386031,5,1,1,amarelo,0,drum’n’bass,2.8614190727100057,1
2,7.8753028672940735,4,1,3,amarelo,6,sertanejo,2.20926854045532,1
4,6.034089465666981,1,1,1,azul,5,lo-fi,1.733593806179556,1
0,7.522279708346777,2,0,3,azul,7,drum’n’bass,3.73226064428557,0
3,6.5609486828456465,6,1,3,azul,1,lo-fi,4.467549856966589,1
0,7.137332640833446,2,1,2,azul,0,funk rave,3.783946114511985,1
2,8.22609287922332,6,1,2,amarelo,0,sertanejo,1.660003510588396,1
2,8.726073713454173,4,1,4,nenhum,0,sertanejo,3.7222108391877686,1
1,6.161123454506716,1,1,1,nenhum,2,funk rave,0.759900912370256,1
4,7.026626803234767,0,1,1,nenhum,2,funk rave,0.6515899404564546,1
5,6.345807854958146,0,1,2,rosa,3,lo-fi,1.7281351851807947,1
1,5.993158069309345,0,0,1,azul,1,funk rave,4.038511845220285,0
4,8.916936099979193,6,1,3,azul,0,sertanejo,1.2317412362115094,1
0,9.546263472184961,6,0,3,amarelo,0,funk rave,0.31626704449339793,1
6,6.851160928422884,2,0,4,amarelo,0,drum’n’bass,0.6585476760317754,0
5,8.756394621868834,1,1,1,rosa,0,drum’n’bass,4.293724842647901,1
1,9.484976446822056,7,1,1,rosa,2,lo-fi,3.1689164237364382,1
5,9.230621052651157,6,1,1,nenhum,5,sertanejo,1.2660058168498833,1
1,5.914066942696129,1,0,1,amarelo,5,drum’n’bass,2.776479126640907,0
4,9.781459407566807,2,1,2,azul,3,funk rave,2.637898112126752,1
2,6.883382202147312,6,1,0,nenhum,6,drum’n’bass,3.277179892203306,1
1,6.696203305869181,0,1,1,azul,4,drum’n’bass,1.1659377721080815,1
3,5.3121566363889015,0,1,2,nenhum,1,lo-fi,4.322014935971988,1
3,7.430868270524416,4,1,4,azul,5,funk rave,1.5468428104000642,1
6,5.545068078204643,5,1,0,rosa,6,funk rave,3.4706582698811843,1
0,6.24269910463713,3,1,0,nenhum,7,funk rave,0.08062323186107445,1
3,6.584713108836407,7,0,1,azul,7,lo-fi,1.8632856494707362,1
5,9.04413161745842,5,1,1,azul,0,funk rave,1.7585490897940415,1
1,9.377443251979482,6,1,4,amarelo,7,funk rave,2.7174221429150727,1
3,6.512331587307348,1,1,2,nenhum,5,drum’n’bass,0.3636813088859825,1
4,9.29349060622287,6,0,2,azul,3,drum’n’bass,3.9506568686305417,1
2,9.286154686848956,1,1,2,amarelo,4,funk rave,1.0889040088378428,1
3,8.823254751924367,1,1,5,azul,5,sertanejo,3.385189074410051,1
7,5.733475570075908,5,1,3,nenhum,3,sertanejo,4.016060616220466,1
1,8.451614234503644,3,0,4,rosa,7,funk rave,2.809384781207566,0
3,9.725120322902843,4,1,3,nenhum,2,sertanejo,3.7044160336099274,1
3,8.412702393835785,5,1,0,nenhum,4,lo-fi,3.309301561075028,1
1,6.65808424553917,3,1,3,azul,3,drum’n’bass,1.7776489857600382,1
1,7.502896587154156,0,0,2,azul,6,lo-fi,4.044292695167827,0
2,8.228625216755269,0,1,3,nenhum,5,drum’n’bass,1.4735068494276398,1
2,7.552852043642518,1,1,3,amarelo,2,sertanejo,2.8560645887575857,1
6,5.599764708654849,2,0,1,amarelo,6,sertanejo,3.7269886957076976,0
1,6.560320223260103,6,0,1,amarelo,3,funk rave,1.8947795490625379,1
3,9.011980152768164,6,1,4,azul,3,sertanejo,1.5138380380871252,1
3,9.307090230477588,1,0,0,azul,7,sertanejo,2.2967300508641135,0
4,5.686500163577851,2,0,2,nenhum,6,funk rave,4.089817471745768,0
2,9.761933761993623,7,1,3,rosa,5,funk rave,4.649608815728324,1
3,6.644113089243047,3,1,1,azul,4,drum’n’bass,2.725417064299451,1
4,8.3115686936536,7,0,0,nenhum,2,sertanejo,3.307331026618259,1
2,8.759125729783406,7,1,3,nenhum,7,drum’n’bass,4.516368111194571,1
3,9.059731173189416,0,0,2,rosa,0,drum’n’bass,0.49273425706471197,0
2,9.728748511129652,7,0,1,amarelo,1,lo-fi,1.1603928893308253,1
4,6.564597740144113,6,0,2,nenhum,4,sertanejo,3.544500031257912,1
1,9.292532272757771,5,1,1,nenhum,7,sertanejo,4.118722309561498,1
3,5.6584345171810355,2,0,0,nenhum,2,lo-fi,4.285145141652889,0
5,8.525204531767963,3,0,2,amarelo,6,drum’n’bass,2.0755358842746627,0
2,8.70988864756993,0,1,0,amarelo,3,sertanejo,0.4466995114593342,1
4,8.388616206006603,7,1,3,rosa,6,drum’n’bass,2.1889073864980997,1
2,6.261573680675765,5,0,2,azul,7,lo-fi,1.153672951035269,1
1,9.365215735076017,2,1,4,amarelo,2,funk rave,1.4559822749831208,1
3,5.844292316851975,1,0,1,azul,6,drum’n’bass,3.861337784187529,0
4,5.268173957604154,1,1,0,azul,6,sertanejo,0.37763543012943435,1
7,8.58732495305956,1,1,0,amarelo,1,funk rave,4.13790608740351,1
4,7.377378576163668,6,1,4,nenhum,5,drum’n’bass,2.1383454291208452,1
6,9.245490099793379,3,1,0,rosa,7,drum’n’bass,2.980319655502975,1
4,6.916985705291294,1,1,5,azul,1,funk rave,0.448261156178395,1
1,5.8413929425385644,6,0,0,nenhum,7,funk rave,1.686795391786398,1
1,9.182210962349348,4,1,3,amarelo,0,funk rave,0.4485045950742289,1
7,7.744548158200359,6,0,2,azul,0,sertanejo,4.807718614405548,1
4,5.9459789619517744,0,1,1,azul,1,sertanejo,4.036308246631252,1
3,8.601919992932228,6,1,1,azul,4,drum’n’bass,2.298163771782301,1
3,7.555568192447502,3,1,1,nenhum,4,drum’n’bass,1.1180127416183554,1
3,8.0215649112016,5,1,2,nenhum,6,lo-fi,4.667275526249261,1
3,7.30449169103291,7,1,3,nenhum,6,sertanejo,1.722982978634859,1
1,9.143544919090033,6,1,2,azul,3,drum’n’bass,0.8049221584368738,1
1,9.14781357841525,1,0,3,azul,0,funk rave,2.8158219422697743,0
3,8.546944109121931,0,1,3,rosa,7,funk rave,4.71887060172408,1
0,5.527006886982312,2,1,1,rosa,3,sertanejo,0.019151452501612876,1
3,9.194269309520344,1,1,2,nenhum,0,funk rave,1.1906242162699936,1
3,8.355064902664548,0,1,2,nenhum,1,lo-fi,4.692238202052038,1
0,8.485120830021497,4,0,2,amarelo,4,drum’n’bass,0.8554298342858102,1
2,6.814914202019358,7,1,4,nenhum,6,drum’n’bass,0.5662172581990993,1
1,9.396397780785033,2,1,1,rosa,4,drum’n’bass,2.8509360789990223,1
2,8.626858001174288,4,0,0,rosa,1,sertanejo,4.309219116474149,1
4,5.562952332645972,5,1,1,rosa,3,funk rave,2.385549088469631,1
4,7.038890172030813,0,1,2,azul,3,lo-fi,4.972821283422624,1
1,9.431901809800708,4,1,0,azul,2,sertanejo,3.3958584976899644,1
3,5.235983508486895,7,1,1,nenhum,6,drum’n’bass,0.3703745360522387,1
3,9.807083098210247,7,0,0,amarelo,6,lo-fi,4.9641606584098765,1
2,8.395812841597813,5,1,2,amarelo,7,drum’n’bass,2.039471183900952,1
2,8.156879888216883,7,1,2,amarelo,6,drum’n’bass,1.4370126692274128,1
3,6.352796282439957,0,1,3,azul,0,sertanejo,2.789395917889428,1
2,6.243958943695885,0,1,0,rosa,3,drum’n’bass,1.5215379591043217,1
3,9.710291097442976,7,0,5,rosa,1,lo-fi,0.4322875356007616,1
2,6.491362271170614,4,0,5,azul,3,drum’n’bass,0.007141715395883597,1
1,8.877526483594997,0,1,1,amarelo,4,funk rave,2.2479167646013116,1
0,6.9656089910353955,1,1,4,amarelo,0,drum’n’bass,4.184317111132962,1
3,5.69627035392352,7,1,2,nenhum,6,sertanejo,2.8615759281503825,1
4,5.053576488476795,0,0,3,nenhum,7,lo-fi,4.996036494717204,0
4,7.7212866850762545,3,1,2,amarelo,7,sertanejo,1.4342332282359997,1
3,9.878894092744662,5,1,3,azul,7,funk rave,1.4022753238002768,1
3,6.845680969046022,7,1,2,amarelo,5,drum’n’bass,0.798747301169721,1
6,6.785961669965224,0,0,2,nenhum,2,sertanejo,0.8203179413266759,0
4,6.72045808924721,3,1,2,amarelo,0,sertanejo,1.4259329800502392,1
4,7.602719186524292,0,1,2,azul,4,sertanejo,3.9642002263676357,1
5,7.203324417121468,0,1,0,rosa,6,sertanejo,4.52878395318224,1
1,9.399573133635073,4,1,4,azul,4,funk rave,4.875435848538406,1
4,7.527603958617451,1,1,4,azul,4,funk rave,1.1614482704822633,1
2,7.538789190942844,7,1,1,nenhum,6,drum’n’bass,4.406487728070458,1
4,5.691857973602783,5,1,3,azul,4,drum’n’bass,1.6412754463866852,1
5,9.913697704551929,7,0,0,azul,7,lo-fi,0.5642027225844221,1
2,6.249864454344149,1,1,2,nenhum,1,funk rave,4.350124627600828,1
4,5.366820337298013,2,0,0,nenhum,2,sertanejo,3.180528173218093,0
1,8.315731244876044,4,1,3,rosa,5,sertanejo,0.8236544804053086,1
2,7.976831850784363,4,1,2,amarelo,4,lo-fi,2.1491562875650128,1
4,7.0757282699637285,1,1,1,azul,4,sertanejo,1.4362884743853384,1
1,7.1109611694033905,6,1,0,nenhum,3,lo-fi,3.683972843550985,1
1,8.925319605232156,4,0,0,rosa,2,drum’n’bass,2.26708115312134,1
0,5.978563200498245,7,1,4,amarelo,0,funk rave,4.946399725531925,1
3,9.101266594724448,1,1,2,nenhum,2,lo-fi,0.2737249112979756,1
3,8.24373556947509,4,0,2,amarelo,2,sertanejo,1.7750763306812334,1
4,7.094848868897622,0,1,3,amarelo,6,lo-fi,2.409500835549887,1
2,7.290143082919343,1,0,5,azul,6,drum’n’bass,2.515667773741599,0
3,6.283236035930479,1,1,3,azul,6,sertanejo,1.5796791119281839,1
6,8.760571663484875,7,1,0,nenhum,5,drum’n’bass,3.6462012454878403,1
2,7.564373711526339,3,0,0,amarelo,7,drum’n’bass,4.373735367444874,0
2,6.604272713749218,4,1,2,nenhum,2,lo-fi,4.693596509889315,1
2,7.9802505788047515,4,0,2,nenhum,5,drum’n’bass,4.025466883997631,1
4,9.978672260256616,1,0,2,amarelo,4,sertanejo,4.252900986532997,0
1,7.176311398282769,0,0,3,nenhum,6,drum’n’bass,2.7527265030999777,0
4,9.603457003893098,0,1,0,amarelo,4,drum’n’bass,4.1294411321340725,1
3,6.725084199622831,5,1,0,amarelo,6,lo-fi,1.517519545739761,1
3,5.273663534624929,0,1,3,amarelo,1,drum’n’bass,1.992393810546072,1
5,6.0212105318421445,4,0,2,amarelo,5,funk rave,1.5845650690927215,1
3,7.093475716638421,6,0,3,rosa,5,lo-fi,2.336936677239627,1
1,6.098174642972845,3,1,1,amarelo,7,lo-fi,1.4278980811931818,1
1,5.001135191091278,1,1,3,azul,0,sertanejo,4.808057211272234,1
3,9.575007688737635,2,1,3,azul,3,sertanejo,1.5642231400283406,1
5,9.219397056154644,3,0,1,azul,2,sertanejo,0.49022269055469914,0
4,8.711461157434735,7,1,3,amarelo,0,sertanejo,2.634085830252067,1
2,5.839072978230143,7,1,4,azul,5,funk rave,0.2854953922258818,1
7,5.60181788104993,6,1,2,rosa,0,lo-fi,0.5527158315429026,1
0,5.338023747361916,2,1,1,nenhum,1,drum’n’bass,1.0969469459812315,1
4,8.620145943864607,3,0,4,amarelo,3,sertanejo,2.3217512494107084,0
2,9.644039803439426,0,1,1,azul,7,sertanejo,2.1662546615451395,1
3,7.152679104565185,4,1,1,rosa,5,sertanejo,3.998459310013956,1
1,5.595703359980241,6,1,3,nenhum,5,drum’n’bass,3.697373269420567,1
3,7.561964103660532,2,1,1,rosa,2,sertanejo,2.1315914699535066,1
1,6.74415953729315,6,1,4,azul,7,drum’n’bass,1.6685210378781496,1
3,6.8741246217499885,3,1,3,rosa,7,lo-fi,1.582343920307493,1
6,8.106653120778535,4,0,0,nenhum,6,lo-fi,3.869975436470045,1
3,8.593590566311011,6,1,2,azul,3,lo-fi,0.2603620311063487,1
2,5.5530179943658045,2,1,3,nenhum,1,funk rave,0.06410824755302913,1
1,5.177951154032382,1,1,2,rosa,4,drum’n’bass,3.9777219596332403,1
4,9.971651513428574,3,1,1,amarelo,0,sertanejo,2.3857318799452463,1
4,6.16364174457776,1,0,4,amarelo,7,sertanejo,0.6544056927678799,0
3,5.269152624542295,0,1,1,amarelo,2,sertanejo,1.1778296729725062,1
1,5.9493766454795995,1,1,1,amarelo,5,sertanejo,4.662519765486913,1
4,5.194789231742321,1,0,0,nenhum,4,funk rave,4.29751487812449,0
2,6.959054473085859,5,1,3,amarelo,1,sertanejo,3.548925251119863,1
4,9.012008922256621,3,0,0,nenhum,3,funk rave,2.411126151686633,0
1,6.7062222487886025,0,1,2,azul,7,drum’n’bass,2.6016181309569286,1
5,7.2209170343918325,1,1,1,amarelo,0,lo-fi,4.876222676419793,1
3,8.377933867837193,7,1,1,nenhum,7,sertanejo,4.828852219421435,1
1,7.5444703503494015,4,1,2,amarelo,2,lo-fi,1.0763452289291715,1
2,9.30722843010662,2,1,4,amarelo,7,drum’n’bass,4.0555228315265905,1
1,9.330178375228783,1,1,4,amarelo,7,drum’n’bass,0.986213330835084,1
5,5.049553477455769,0,1,3,nenhum,7,sertanejo,1.067687389419757,1
1,8.890231532415996,1,1,4,rosa,5,drum’n’bass,3.380465170822884,1
3,7.3036680012083695,2,1,1,amarelo,5,lo-fi,2.025005492937742,1
2,9.944202706518315,0,0,2,amarelo,4,sertanejo,4.657722035532601,0
3,7.4161603793771755,3,1,1,azul,4,funk rave,0.44504867448004415,1
2,9.934479726941488,0,0,1,rosa,0,sertanejo,2.5576282040474654,0
5,8.772846806028683,3,1,4,nenhum,3,lo-fi,4.592607652215606,1
4,6.243024423066531,0,1,2,azul,1,sertanejo,4.520568302397526,1
5,7.691974896434788,7,1,0,amarelo,6,sertanejo,0.7826460670787061,1
2,9.960678197392914,6,1,3,azul,3,lo-fi,1.8331885004822823,1
3,9.287653038759618,2,1,1,azul,3,sertanejo,3.095607000233481,1
2,5.486834468956106,2,1,2,amarelo,3,sertanejo,0.7969744238570109,1
1,8.53185998404998,0,0,2,rosa,6,lo-fi,4.840110860228694,0
3,6.727897929354065,6,0,0,rosa,0,drum’n’bass,4.573746643638302,1
1,5.034911309401741,1,0,2,azul,6,lo-fi,0.8347508951723459,0
7,7.0174048451349975,2,1,5,amarelo,0,sertanejo,0.6057773063049271,1
6,6.173772108624856,7,0,2,nenhum,6,funk rave,0.4270424140413265,1
3,9.094346352602358,3,1,3,azul,1,funk rave,4.5472183201831555,1
4,6.6866530442288274,3,1,0,nenhum,7,lo-fi,0.9681190489773039,1
1,9.137618469769086,4,0,2,azul,3,funk rave,2.0814246427217737,1
1,5.002989694173976,5,1,1,azul,7,sertanejo,2.2442568282600153,1
2,6.5390957501305955,6,1,3,amarelo,0,sertanejo,2.9950552210678376,1
3,6.20582607153881,5,0,2,amarelo,6,lo-fi,0.3586767187371248,1
3,6.167836805343055,5,1,1,nenhum,1,sertanejo,1.1337930870025796,1
1,5.340933098827313,3,1,2,nenhum,6,drum’n’bass,4.65745193459463,1
4,5.935621352052508,7,1,1,rosa,7,sertanejo,4.542050536342847,1
1,7.777747849428099,7,1,2,amarelo,5,lo-fi,3.906453237028461,1
3,6.456805364188723,4,1,5,azul,1,drum’n’bass,0.09700622809107717,1
3,7.08697391164574,5,1,3,azul,3,drum’n’bass,1.6350338424805106,1
1,6.884334401735943,5,0,4,rosa,2,funk rave,3.139793676714539,1
2,9.379524624999473,0,1,2,amarelo,3,sertanejo,1.3759510588673785,1
4,9.526494995052577,0,1,2,azul,2,lo-fi,4.547933475268887,1
2,7.4647848582793,0,0,0,rosa,1,funk rave,3.1694473091622095,0
0,6.650779751578022,1,1,2,rosa,5,funk rave,0.359533586582228,1
4,5.534003520011818,5,1,1,azul,7,sertanejo,4.545027944178515,1
0,9.767014396910476,7,1,1,azul,5,sertanejo,4.788833290881112,1
2,5.3011347245014875,7,1,2,nenhum,0,lo-fi,0.38856209195862745,1
5,6.488251387841402,1,1,3,amarelo,5,funk rave,2.6618011743065746,1
1,6.49033100585002,7,1,1,nenhum,4,lo-fi,1.5168214110708522,1
5,6.602006430701074,4,1,2,rosa,1,funk rave,1.964195382407012,1
4,5.8214342163620465,6,1,1,azul,7,funk rave,0.8982560897767095,1
4,8.915807154618486,3,1,2,nenhum,7,funk rave,2.8903605100620626,1
3,5.612489309829946,5,1,1,rosa,0,sertanejo,4.789896766244453,1
6,8.174533295765814,7,1,1,amarelo,7,funk rave,2.515363001358045,1
2,5.619230133529087,3,1,3,azul,5,funk rave,0.4145729069724058,1
4,5.3526781879647825,7,1,3,nenhum,1,funk rave,3.100006667387042,1
2,9.547147518429384,6,1,1,amarelo,3,drum’n’bass,1.7011149722562853,1
5,5.950643831593529,0,0,0,nenhum,5,sertanejo,4.2796259479564895,0
3,9.106250772798521,5,1,3,rosa,6,drum’n’bass,2.173390741582351,1
3,7.723154355535679,2,1,3,amarelo,2,sertanejo,0.964198044711228,1
3,5.389282598043848,1,0,3,nenhum,1,lo-fi,0.9555281134557247,0
1,9.777240957190337,1,1,0,amarelo,7,drum’n’bass,3.8438209036058018,1
3,6.234805834959463,5,1,0,rosa,0,lo-fi,1.3279379915367995,1
6,9.298226726763033,6,1,0,amarelo,3,funk rave,3.836166970796115,1
3,5.844050028922821,0,0,4,nenhum,4,lo-fi,1.0294365538329968,0
1,9.269714410709264,1,1,1,rosa,3,lo-fi,1.608431843506547,1
3,5.06614406452647,0,1,3,azul,5,lo-fi,2.327434862198497,1
3,7.558902282847404,4,0,0,nenhum,2,lo-fi,4.715979248467254,1
2,8.847212897107784,3,1,0,nenhum,3,sertanejo,4.658657123769123,1
