n_senhas_com_nome_pet,antiguidade_modem,qt_leds_piscando,sinal_wifi_em_marte,n_gatos_em_casa,freq_fala_ets,cor_cabo_rede,gritou_roteador,filmes_mib,wifi_invadido
1,4,11,-88.82727483746875,0,6,preto,2,3,1
2,12,10,-62.743586888277605,1,1,amarelo,4,6,1
1,3,12,-72.66654874879144,3,5,rosa,5,2,1
4,2,12,-89.50158754397266,0,4,rosa,3,0,1
1,10,5,-74.198746617922,0,4,preto,5,4,1
1,2,10,-66.05710361671815,1,6,preto,4,0,1
1,14,4,-83.93479166668925,2,0,preto,2,6,1
0,4,4,-66.80169963375272,0,3,preto,0,4,0
3,2,10,-93.8234022264003,0,6,rosa,4,6,1
1,4,13,-67.08874540535328,1,1,amarelo,1,1,1
1,3,13,-78.38823029310535,0,5,rosa,0,3,1
4,9,5,-91.08102047960071,2,3,preto,4,5,1
4,7,5,-83.71434461776354,3,0,azul,1,0,1
2,14,0,-60.48028030213533,1,6,rosa,5,2,1
2,13,10,-68.65775933430295,1,2,azul,0,6,1
4,11,14,-76.99654554459539,2,3,azul,4,6,1
3,12,8,-95.39344352381897,0,0,preto,3,3,1
2,3,4,-83.28753668393999,0,6,rosa,5,0,1
3,13,0,-89.47793943952252,1,6,amarelo,1,2,1
4,14,7,-97.15995681978438,0,1,rosa,3,2,1
2,8,6,-78.31182445122741,0,6,amarelo,2,6,0
1,9,6,-64.43257200636495,0,2,amarelo,5,5,1
4,13,14,-72.976005273035,0,6,preto,5,6,1
2,7,13,-90.01278448077956,0,4,amarelo,4,5,1
3,6,4,-77.05661572184843,1,0,rosa,4,6,1
3,4,0,-62.27062866612124,0,4,rosa,1,6,1
2,5,8,-71.08339788308258,2,6,azul,5,2,1
3,8,10,-72.42104402372945,0,2,amarelo,4,5,1
2,3,8,-61.27367335089935,1,0,preto,2,2,0
2,2,7,-68.04506755263901,0,0,preto,4,0,1
3,3,4,-94.53505827604991,0,6,rosa,5,6,1
0,12,13,-86.09459652095194,0,2,amarelo,0,1,1
1,7,2,-61.39437197049256,3,1,preto,3,5,0
4,8,7,-80.4117842320801,1,0,amarelo,5,4,1
1,1,0,-95.53450218715258,1,2,amarelo,2,4,0
4,13,2,-81.65580481310633,2,3,azul,5,4,1
4,7,11,-72.12027063716798,1,4,preto,2,1,1
1,9,10,-60.098071132750356,1,0,azul,5,2,1
2,12,6,-87.04378733747193,3,3,preto,3,2,1
3,13,13,-79.43652500482905,0,0,amarelo,3,3,1
0,14,14,-64.81277181400824,1,1,preto,2,4,1
0,14,3,-85.78931127770666,2,6,rosa,5,4,1
0,3,6,-95.6295377363657,1,2,amarelo,3,2,0
1,3,11,-62.04256499993984,0,0,preto,1,4,1
1,8,10,-80.46236773145999,3,2,azul,5,2,1
2,4,12,-79.88865156912112,0,5,azul,3,6,1
0,14,13,-75.15199421583272,3,0,amarelo,0,6,1
2,8,4,-99.85853505187102,2,1,azul,0,2,0
0,5,5,-62.754752977246035,1,1,amarelo,1,5,0
1,14,13,-85.54195660901833,0,6,amarelo,3,2,1
3,3,6,-84.12272550462606,0,6,amarelo,0,0,1
3,4,14,-93.0356300986706,3,3,preto,5,0,1
3,14,12,-84.87393546830155,2,1,amarelo,4,0,1
3,4,9,-67.84225876895792,1,2,azul,3,0,1
4,8,11,-68.00033309777861,0,5,rosa,1,1,1
0,6,6,-62.568126364181886,0,1,preto,3,3,0
3,7,6,-83.87082109276817,2,0,azul,2,3,1
4,9,6,-71.65113985005662,3,1,amarelo,2,2,1
4,6,10,-79.71049779169772,1,5,amarelo,0,6,1
4,3,12,-67.83908841923477,0,2,rosa,2,4,1
2,13,12,-71.49831963468012,1,0,azul,1,0,1
2,3,6,-85.28388298854898,0,3,preto,0,3,0
4,11,2,-86.5330466298523,1,3,azul,1,3,1
3,3,14,-89.9023014788813,1,3,amarelo,5,0,1
0,12,11,-76.93936838045448,0,6,preto,1,6,1
1,10,2,-61.446285936245616,0,0,amarelo,2,1,0
2,2,6,-91.99733049529736,2,3,amarelo,5,1,1
3,1,13,-96.18990180382698,0,6,azul,2,3,1
3,11,1,-95.22397431694745,1,1,rosa,1,1,1
1,10,13,-68.676052949994,1,0,amarelo,2,5,1
1,1,1,-85.99580782861744,3,0,azul,2,0,0
3,4,2,-91.0253268923048,0,0,preto,2,6,1
1,3,13,-85.88623526506,0,4,rosa,3,3,1
3,5,3,-74.18676748681912,1,6,amarelo,5,0,1
1,12,5,-78.12851500686865,2,2,amarelo,5,1,1
1,9,12,-70.25642373915096,1,4,preto,5,0,1
3,12,7,-86.43703406072895,0,4,azul,1,1,1
4,13,9,-81.91885706141258,0,4,amarelo,4,6,1
3,8,9,-95.92126524148306,1,2,preto,1,1,1
0,12,6,-97.07765415868874,0,4,amarelo,5,0,1
1,9,3,-81.50979028623598,0,3,azul,0,6,0
2,13,1,-87.93613570216306,0,0,rosa,2,1,1
1,5,1,-75.48797711455477,0,0,azul,2,5,0
0,8,14,-98.27991338221712,1,6,azul,4,2,1
2,4,3,-95.12934489601739,1,1,azul,0,0,0
2,5,5,-65.39236755574419,1,5,preto,3,2,0
3,12,2,-77.34753513923582,1,3,amarelo,1,0,1
4,3,5,-71.51781865235091,2,2,rosa,3,1,1
3,5,4,-66.32111525170816,1,5,preto,0,1,1
2,12,4,-81.44662628199791,1,0,azul,4,6,1
2,3,1,-69.55758464130096,1,4,rosa,0,3,0
4,5,7,-79.01657683705903,0,6,azul,4,5,1
1,11,4,-91.09004918905184,0,6,azul,3,3,1
4,14,10,-86.49375324796242,1,1,azul,3,2,1
3,5,1,-80.38598235777357,0,1,rosa,0,1,1
1,6,6,-87.32457791310917,1,0,amarelo,0,3,0
3,9,12,-86.57889234600407,2,3,azul,2,1,1
4,1,14,-86.50428675004935,0,6,amarelo,4,0,1
1,12,8,-95.08640084571583,2,5,rosa,2,3,1
4,10,8,-96.61429571150994,0,1,rosa,1,2,1
0,14,0,-98.14015841234783,1,0,azul,1,6,1
2,6,6,-95.56174955862653,0,3,amarelo,0,3,0
1,1,8,-86.25171631457528,0,0,amarelo,3,1,0
2,6,5,-76.24512776867772,0,0,azul,1,4,0
0,2,0,-92.47412291162364,0,3,preto,1,4,0
1,8,1,-64.47964615989449,1,3,preto,2,6,0
2,11,3,-67.66470275042202,0,3,rosa,2,6,1
2,3,13,-79.17891548763345,2,0,rosa,1,5,1
1,10,3,-71.0316067674656,5,1,preto,0,6,0
2,14,1,-85.34685901204966,0,2,preto,2,1,1
2,6,7,-98.5288882906764,1,2,preto,1,0,0
1,6,1,-63.8266860986984,2,0,azul,3,3,0
2,4,2,-94.88826046968713,1,0,azul,2,6,0
2,5,13,-62.08250614481394,0,1,azul,1,4,1
3,2,3,-77.1246964693556,1,3,azul,4,0,1
3,10,8,-87.7774775591428,1,0,azul,2,1,1
0,10,9,-80.17901506752622,0,6,azul,4,0,1
3,8,0,-79.93480764307623,2,4,rosa,2,1,1
3,10,7,-99.06851682229673,0,3,amarelo,2,5,1
0,7,11,-85.78160592463445,2,6,rosa,5,3,1
2,10,14,-70.4053680182833,0,0,amarelo,5,0,1
2,6,13,-79.59723244197168,2,4,rosa,4,3,1
3,7,4,-90.23079531961663,1,6,rosa,0,0,1
0,12,6,-86.59560559852224,1,5,azul,1,1,1
2,1,7,-65.47782427536204,1,1,azul,0,1,0
4,14,14,-78.97801319399082,4,4,amarelo,0,0,1
1,14,4,-78.86591509795056,1,0,amarelo,5,5,1
1,5,7,-61.5413016379596,1,2,azul,1,1,0
1,7,9,-87.16474403853427,0,6,rosa,5,2,1
3,1,10,-80.81835499575087,2,0,amarelo,5,2,1
1,2,7,-67.53145609116663,1,2,preto,5,3,1
1,9,8,-69.64351004451882,1,1,preto,3,6,0
4,12,1,-89.3680231228531,2,1,preto,0,2,1
2,3,2,-93.95635809578457,0,3,amarelo,0,2,0
4,6,0,-71.97181695250526,1,6,azul,0,5,1
3,7,3,-89.69375292771221,0,3,azul,3,5,1
1,9,14,-63.092966859030355,0,2,azul,2,6,1
2,5,14,-94.83009224043096,0,2,amarelo,4,4,1
1,4,4,-87.26739199460894,2,1,amarelo,4,6,1
1,11,10,-97.80851012300344,1,4,preto,3,4,1
3,12,0,-71.86778772546488,2,2,amarelo,0,5,1
1,2,7,-64.34949404338407,2,2,preto,4,4,1
0,3,1,-74.56501890675972,1,6,preto,3,5,0
2,5,0,-62.48987937954065,3,4,azul,5,4,1
2,11,1,-94.85984085995162,1,3,amarelo,1,1,1
0,13,14,-96.49064290949204,0,3,azul,4,5,1
3,2,12,-66.46349075330517,0,2,azul,1,6,1
1,13,4,-65.77955298453969,4,6,amarelo,0,3,1
1,4,8,-66.75841891571488,3,3,amarelo,4,3,1
2,1,8,-68.04140389865017,6,3,rosa,3,5,0
3,4,1,-85.51086544245359,1,5,preto,2,2,1
3,7,1,-91.30151665634449,1,6,rosa,4,3,1
3,14,2,-62.8478392000884,2,3,preto,4,6,1
1,12,6,-87.71999268606665,0,1,preto,4,2,1
3,3,10,-84.06369271343871,2,0,preto,4,3,1
0,10,2,-72.01764162193467,0,2,azul,3,0,0
4,8,0,-88.2657568002405,1,2,azul,3,0,1
3,6,13,-67.23479113755995,0,1,amarelo,2,5,1
4,6,13,-97.19861505472875,1,0,preto,3,6,1
1,14,13,-68.35269330444262,1,0,preto,3,6,1
3,1,5,-75.92594709528782,1,1,preto,0,3,1
2,5,2,-77.08025423545628,0,4,azul,0,1,0
1,3,0,-81.66491843445357,0,4,amarelo,1,2,0
0,10,13,-88.91817614866311,0,0,azul,2,3,1
0,1,12,-81.43718858275054,0,4,rosa,0,5,1
4,8,3,-81.9988595192525,0,4,rosa,2,2,1
4,7,12,-76.6498324486772,2,4,rosa,2,4,1
2,7,0,-88.73702856577879,1,0,amarelo,4,5,1
2,12,0,-96.89617672095405,1,4,rosa,5,3,1
0,10,11,-94.19642213443447,1,2,amarelo,5,1,1
3,14,1,-72.03290274153709,2,5,azul,5,4,1
0,10,9,-99.10030681457837,1,0,azul,2,5,0
0,10,7,-65.7422782141828,2,1,amarelo,4,3,1
