,execucao_id,prova_id,mago,categoria,tarefa,dificuldade,pressao,resistencia_alvo,alvo_movel,contexto,tempo_execucao_s,precisao_pct,potencia_pct,controle_pct,sucesso,dano_colateral,soma_skills
21,E00022,P022,Albus Dumbledore,Defesa,Finite Incantatem,4,6,5,1,exame,13.68,77.47,85.15,74.45,0,0,236.39
22,E00023,P023,Albus Dumbledore,Defesa,Protego Maxima,4,6,9,1,exame,16.37,87.87,91.57,86.91,1,0,276.98
23,E00024,P024,Albus Dumbledore,Defesa,Expecto Patronum,5,6,7,0,exame,16.25,82.12,78.34,79.21,1,0,250.42000000000002
24,E00025,P025,Albus Dumbledore,Defesa,Protego,2,9,9,1,duelo_real,13.15,77.94,88.62,89.82,1,0,266.23
25,E00026,P026,Albus Dumbledore,Defesa,Finite Incantatem,2,7,4,0,missao,11.03,80.29,90.24,79.33,1,0,256.83000000000004
26,E00027,P027,Albus Dumbledore,Defesa,Protego Maxima,4,9,10,0,duelo_real,15.66,85.5,80.61,79.27,0,0,247.72
27,E00028,P028,Albus Dumbledore,Defesa,Expecto Patronum,5,4,6,1,exame,15.75,79.4,78.27,79.77,1,0,247.69
28,E00029,P029,Albus Dumbledore,Defesa,Protego,2,2,1,0,treino,11.47,88.76,90.75,68.14,1,0,251.17999999999998
29,E00030,P030,Albus Dumbledore,Defesa,Finite Incantatem,3,8,8,1,missao,14.9,75.42,87.25,86.45,1,0,258.22
30,E00031,P031,Albus Dumbledore,Defesa,Protego Maxima,3,7,4,1,missao,12.51,89.59,82.47,81.1,1,0,260.65
31,E00032,P032,Albus Dumbledore,Defesa,Expecto Patronum,5,8,9,0,missao,14.62,83.3,81.72,85.82,1,0,265.21999999999997
32,E00033,P033,Albus Dumbledore,Defesa,Protego,2,9,2,0,duelo_real,9.55,88.01,91.45,84.32,1,0,270.22999999999996
33,E00034,P034,Albus Dumbledore,Defesa,Finite Incantatem,3,4,9,1,exame,13.58,76.65,89.15,91.53,1,0,268.75000000000006
34,E00035,P035,Albus Dumbledore,Defesa,Protego Maxima,4,5,1,0,exame,12.62,78.77,85.43,83.57,1,0,254.14999999999998
35,E00036,P036,Albus Dumbledore,Defesa,Expecto Patronum,4,9,9,1,duelo_real,14.64,87.41,79.13,73.33,1,0,252.23000000000002
36,E00037,P037,Albus Dumbledore,Defesa,Protego,2,7,1,0,missao,10.35,89.15,83.19,83.1,1,0,260.09
37,E00038,P038,Albus Dumbledore,Defesa,Finite Incantatem,3,6,5,0,exame,12.91,88.49,79.33,86.5,1,0,262.40999999999997
38,E00039,P039,Albus Dumbledore,Defesa,Protego Maxima,4,3,4,1,treino,15.16,79.75,82.98,79.48,1,0,249.05000000000004
39,E00040,P040,Albus Dumbledore,Defesa,Expecto Patronum,5,3,8,1,treino,15.42,78.74,83.31,78.51,0,0,243.14000000000001
40,E00041,P041,Albus Dumbledore,Encantamento,Wingardium Leviosa,1,8,1,0,missao,10.47,86.11,91.54,79.28,1,0,259.46
41,E00042,P042,Albus Dumbledore,Encantamento,Accio,2,7,3,0,missao,11.85,78.73,88.53,83.89,0,0,246.29999999999998
42,E00043,P043,Albus Dumbledore,Encantamento,Muffliato,3,1,3,0,treino,13.82,70.63,77.38,84.2,1,0,237.39
43,E00044,P044,Albus Dumbledore,Encantamento,Feitico de Desilusao,4,9,2,0,duelo_real,13.28,87.69,84.32,83.28,1,1,252.00999999999996
44,E00045,P045,Albus Dumbledore,Encantamento,Wingardium Leviosa,1,4,8,1,exame,12.58,83.85,86.28,82.52,1,0,260.07
45,E00046,P046,Albus Dumbledore,Encantamento,Accio,2,9,6,1,duelo_real,10.34,82.84,77.3,85.7,1,0,255.49999999999997
46,E00047,P047,Albus Dumbledore,Encantamento,Muffliato,3,3,1,1,treino,12.75,82.11,85.63,75.5,0,0,237.49
47,E00048,P048,Albus Dumbledore,Encantamento,Feitico de Desilusao,5,9,10,0,duelo_real,16.36,77.48,84.12,74.95,1,0,250.19
48,E00049,P049,Albus Dumbledore,Encantamento,Wingardium Leviosa,1,4,8,0,exame,9.17,81.05,89.04,82.32,1,0,263.23999999999995
49,E00050,P050,Albus Dumbledore,Encantamento,Accio,2,2,2,0,treino,11.85,87.53,89.79,78.86,1,0,260.33
50,E00051,P051,Albus Dumbledore,Encantamento,Muffliato,3,5,10,1,exame,14.42,81.36,86.88,80.18,1,0,260.0
51,E00052,P052,Albus Dumbledore,Encantamento,Feitico de Desilusao,4,10,7,1,duelo_real,13.93,87.13,78.73,75.77,1,0,252.7
52,E00053,P053,Albus Dumbledore,Encantamento,Wingardium Leviosa,1,5,3,0,exame,11.45,81.2,84.0,88.83,1,0,257.58
53,E00054,P054,Albus Dumbledore,Encantamento,Accio,2,1,7,1,treino,13.84,80.43,84.54,82.3,1,0,254.43000000000004
54,E00055,P055,Albus Dumbledore,Encantamento,Muffliato,3,1,7,0,treino,14.13,75.42,80.3,78.49,0,0,233.07999999999998
55,E00056,P056,Albus Dumbledore,Encantamento,Feitico de Desilusao,4,5,10,1,exame,15.75,76.05,84.83,80.69,0,0,243.82
56,E00057,P057,Albus Dumbledore,Encantamento,Wingardium Leviosa,1,2,2,1,treino,11.73,73.12,84.9,83.32,1,0,243.61
57,E00058,P058,Albus Dumbledore,Encantamento,Accio,2,4,2,0,exame,11.82,85.66,82.08,80.99,1,0,252.91000000000003
58,E00059,P059,Albus Dumbledore,Encantamento,Muffliato,4,4,10,0,exame,13.49,73.92,85.03,89.58,1,0,263.03999999999996
59,E00060,P060,Albus Dumbledore,Encantamento,Feitico de Desilusao,4,6,9,0,exame,14.39,83.9,79.21,83.42,1,0,259.14000000000004
60,E00061,P061,Albus Dumbledore,Transfiguracao,Reparifarge,3,1,5,0,treino,14.19,77.82,83.8,86.86,1,0,255.29000000000002
61,E00062,P062,Albus Dumbledore,Transfiguracao,Vera Verto,3,2,6,0,treino,11.93,85.66,82.74,78.2,1,0,256.66999999999996
62,E00063,P063,Albus Dumbledore,Transfiguracao,Duro,4,3,9,0,treino,14.47,86.96,77.46,79.51,1,0,256.46
63,E00064,P064,Albus Dumbledore,Transfiguracao,Piertotum Locomotor,5,6,2,1,exame,13.76,85.76,79.87,83.28,0,1,237.14999999999998
64,E00065,P065,Albus Dumbledore,Transfiguracao,Reparifarge,2,7,10,0,missao,13.07,82.19,82.58,85.9,0,0,251.59999999999997
65,E00066,P066,Albus Dumbledore,Transfiguracao,Vera Verto,3,9,1,0,duelo_real,13.11,80.34,76.77,82.52,1,0,243.51999999999998
66,E00067,P067,Albus Dumbledore,Transfiguracao,Duro,4,9,9,1,duelo_real,15.24,79.01,89.45,80.02,1,0,260.24
67,E00068,P068,Albus Dumbledore,Transfiguracao,Piertotum Locomotor,5,9,2,1,duelo_real,14.71,84.09,91.66,66.91,0,1,229.95
68,E00069,P069,Albus Dumbledore,Transfiguracao,Reparifarge,2,10,6,1,duelo_real,10.37,84.44,83.32,84.92,1,0,262.31
69,E00070,P070,Albus Dumbledore,Transfiguracao,Vera Verto,3,2,7,1,treino,13.07,72.03,87.91,82.37,1,0,252.24
70,E00071,P071,Albus Dumbledore,Transfiguracao,Duro,4,10,2,1,duelo_real,13.95,83.84,81.97,90.75,1,0,262.61
71,E00072,P072,Albus Dumbledore,Transfiguracao,Piertotum Locomotor,4,8,8,1,missao,14.59,81.01,86.78,79.26,0,0,248.46
72,E00073,P073,Albus Dumbledore,Transfiguracao,Reparifarge,2,7,2,1,missao,11.41,83.19,80.35,80.14,1,0,248.27
73,E00074,P074,Albus Dumbledore,Transfiguracao,Vera Verto,3,2,4,0,treino,12.4,83.34,82.82,80.39,1,0,254.15
74,E00075,P075,Albus Dumbledore,Transfiguracao,Duro,4,8,6,1,missao,15.6,81.76,75.44,74.49,0,0,230.09
75,E00076,P076,Albus Dumbledore,Transfiguracao,Piertotum Locomotor,5,7,8,1,missao,17.34,84.66,92.53,80.96,1,1,258.81
76,E00077,P077,Albus Dumbledore,Transfiguracao,Reparifarge,2,10,4,0,duelo_real,10.88,87.84,78.74,90.35,1,0,264.04999999999995
77,E00078,P078,Albus Dumbledore,Transfiguracao,Vera Verto,3,8,4,1,missao,12.19,85.88,91.17,78.31,1,0,263.17
78,E00079,P079,Albus Dumbledore,Transfiguracao,Duro,3,7,9,0,missao,13.98,82.44,85.33,75.69,1,0,254.48
79,E00080,P080,Albus Dumbledore,Transfiguracao,Piertotum Locomotor,5,8,4,0,missao,13.67,87.94,91.4,77.74,1,0,267.40999999999997
80,E00081,P081,Albus Dumbledore,Pocoes,Antidoto simples,1,4,4,0,exame,12.26,83.6,85.5,82.95,1,0,255.79000000000002
81,E00082,P082,Albus Dumbledore,Pocoes,Pocao Wiggenweld,3,8,3,0,missao,12.71,86.73,94.59,85.26,1,0,272.87
82,E00083,P083,Albus Dumbledore,Pocoes,Pocao Polissuco,4,6,2,1,exame,14.97,77.98,81.94,77.68,1,0,242.63000000000002
83,E00084,P084,Albus Dumbledore,Pocoes,Veritaserum,5,9,5,0,duelo_real,14.76,79.1,78.09,84.17,0,0,241.60000000000002
84,E00085,P085,Albus Dumbledore,Pocoes,Antidoto simples,1,10,3,1,duelo_real,11.54,74.14,81.49,84.15,1,1,233.24
85,E00086,P086,Albus Dumbledore,Pocoes,Pocao Wiggenweld,2,9,9,1,duelo_real,13.28,78.65,81.48,79.83,1,0,249.67999999999998
86,E00087,P087,Albus Dumbledore,Pocoes,Pocao Polissuco,4,4,8,0,exame,14.74,76.11,80.36,82.57,0,0,240.29999999999998
87,E00088,P088,Albus Dumbledore,Pocoes,Veritaserum,5,3,4,0,treino,15.38,78.07,74.61,79.93,1,0,241.23000000000002
88,E00089,P089,Albus Dumbledore,Pocoes,Antidoto simples,1,1,8,0,treino,12.33,73.66,84.42,78.01,1,0,243.75999999999996
89,E00090,P090,Albus Dumbledore,Pocoes,Pocao Wiggenweld,2,3,8,0,treino,14.28,72.48,73.22,81.65,0,0,225.07
90,E00091,P091,Albus Dumbledore,Pocoes,Pocao Polissuco,4,7,10,0,missao,14.18,80.35,84.4,69.97,0,0,238.54
91,E00092,P092,Albus Dumbledore,Pocoes,Veritaserum,5,9,3,1,duelo_real,15.38,85.91,83.25,83.4,1,0,260.18
92,E00093,P093,Albus Dumbledore,Pocoes,Antidoto simples,1,2,3,0,treino,11.4,85.97,79.63,79.29,1,0,248.48999999999998
93,E00094,P094,Albus Dumbledore,Pocoes,Pocao Wiggenweld,2,3,5,1,treino,12.2,79.24,84.3,79.03,0,0,239.37
94,E00095,P095,Albus Dumbledore,Pocoes,Pocao Polissuco,4,5,5,1,exame,12.7,78.18,76.61,68.62,1,0,233.71000000000004
95,E00096,P096,Albus Dumbledore,Pocoes,Veritaserum,5,7,2,0,missao,13.56,75.53,84.92,79.62,1,1,238.51
96,E00097,P097,Albus Dumbledore,Pocoes,Antidoto simples,1,7,1,1,missao,11.09,85.79,86.19,77.3,1,0,251.19000000000003
97,E00098,P098,Albus Dumbledore,Pocoes,Pocao Wiggenweld,2,4,10,0,exame,13.84,78.9,85.53,81.0,1,0,255.59
98,E00099,P099,Albus Dumbledore,Pocoes,Pocao Polissuco,4,6,6,0,exame,12.32,77.91,92.87,77.36,1,0,259.82
99,E00100,P100,Albus Dumbledore,Pocoes,Veritaserum,5,2,4,1,treino,15.97,69.6,76.16,77.45,0,0,221.23999999999998
100,E00101,P101,Albus Dumbledore,Cura,Episkey,2,6,6,1,exame,13.73,75.79,86.38,82.88,0,0,241.32000000000002
101,E00102,P102,Albus Dumbledore,Cura,Ferula,2,10,9,0,duelo_real,13.92,88.91,81.26,80.45,0,0,249.70000000000002
102,E00103,P103,Albus Dumbledore,Cura,Rennervate,3,5,2,0,exame,11.69,86.19,80.65,80.7,1,0,253.85000000000002
103,E00104,P104,Albus Dumbledore,Cura,Vulnera Sanentur,5,10,7,1,duelo_real,16.07,82.1,79.57,79.33,1,0,251.93
104,E00105,P105,Albus Dumbledore,Cura,Episkey,2,8,7,0,missao,12.77,73.99,83.17,76.57,0,0,231.95999999999998
105,E00106,P106,Albus Dumbledore,Cura,Ferula,2,6,2,1,exame,10.62,78.51,81.93,80.71,1,0,246.52999999999997
106,E00107,P107,Albus Dumbledore,Cura,Rennervate,2,5,9,0,exame,12.97,80.19,81.92,82.11,1,0,254.25000000000003
107,E00108,P108,Albus Dumbledore,Cura,Vulnera Sanentur,5,2,8,0,treino,15.63,83.84,80.61,81.39,1,0,258.21
108,E00109,P109,Albus Dumbledore,Cura,Episkey,1,10,9,1,duelo_real,11.05,83.15,84.09,90.19,1,0,267.38
109,E00110,P110,Albus Dumbledore,Cura,Ferula,2,2,8,0,treino,13.21,72.58,85.1,78.88,1,0,245.35
110,E00111,P111,Albus Dumbledore,Cura,Rennervate,3,10,8,0,duelo_real,12.88,76.9,90.5,85.62,1,0,264.14
111,E00112,P112,Albus Dumbledore,Cura,Vulnera Sanentur,5,8,9,1,missao,16.14,78.93,92.8,77.24,1,0,261.83000000000004
112,E00113,P113,Albus Dumbledore,Cura,Episkey,1,9,9,1,duelo_real,11.65,75.14,77.75,83.39,0,0,235.62999999999997
113,E00114,P114,Albus Dumbledore,Cura,Ferula,2,7,2,0,missao,13.39,95.87,79.18,89.17,1,0,266.83000000000004
114,E00115,P115,Albus Dumbledore,Cura,Rennervate,3,4,3,1,exame,13.54,74.86,73.18,78.5,0,0,222.00000000000003
115,E00116,P116,Albus Dumbledore,Cura,Vulnera Sanentur,5,6,1,0,exame,14.64,85.99,80.75,85.28,1,0,258.38
116,E00117,P117,Albus Dumbledore,Cura,Episkey,2,10,4,0,duelo_real,12.33,80.63,84.77,86.88,1,0,257.95
117,E00118,P118,Albus Dumbledore,Cura,Ferula,1,4,4,1,exame,11.47,86.35,80.76,80.25,1,0,251.89000000000001
118,E00119,P119,Albus Dumbledore,Cura,Rennervate,2,5,8,0,exame,12.17,69.54,81.61,86.99,1,0,247.97
119,E00120,P120,Albus Dumbledore,Cura,Vulnera Sanentur,5,1,6,1,treino,15.17,78.79,80.33,82.71,1,0,252.66
120,E00121,P001,Lord Voldemort,Ataque,Expelliarmus,1,10,1,0,duelo_real,9.41,91.46,85.88,91.02,1,0,271.94999999999993
121,E00122,P002,Lord Voldemort,Ataque,Estupefaca,3,7,9,0,missao,12.37,88.2,82.3,80.76,1,0,263.89
122,E00123,P003,Lord Voldemort,Ataque,Bombarda,4,3,4,0,treino,15.55,86.07,88.59,84.02,1,0,265.13
123,E00124,P004,Lord Voldemort,Ataque,Confringo,4,9,8,0,duelo_real,12.67,85.86,89.28,84.12,0,1,252.59
124,E00125,P005,Lord Voldemort,Ataque,Expelliarmus,2,4,9,1,exame,11.31,76.44,83.29,80.87,0,0,242.29000000000002
125,E00126,P006,Lord Voldemort,Ataque,Estupefaca,3,10,4,1,duelo_real,12.21,76.02,92.08,78.78,1,0,254.67
126,E00127,P007,Lord Voldemort,Ataque,Bombarda,4,6,9,1,exame,14.31,77.2,84.94,71.98,1,0,246.81
127,E00128,P008,Lord Voldemort,Ataque,Confringo,5,10,7,0,duelo_real,13.34,83.55,86.31,74.97,1,1,248.49000000000004
128,E00129,P009,Lord Voldemort,Ataque,Expelliarmus,2,4,7,0,exame,11.45,78.5,82.37,81.15,1,0,251.57
129,E00130,P010,Lord Voldemort,Ataque,Estupefaca,3,4,3,0,exame,10.65,76.08,93.74,74.78,1,0,252.95000000000002
130,E00131,P011,Lord Voldemort,Ataque,Bombarda,4,7,10,0,missao,13.84,87.16,86.49,90.26,1,0,278.07
131,E00132,P012,Lord Voldemort,Ataque,Confringo,4,4,4,1,exame,14.16,75.2,91.29,76.26,1,1,240.59
132,E00133,P013,Lord Voldemort,Ataque,Expelliarmus,2,5,2,0,exame,11.99,78.32,88.62,82.91,1,0,253.86
133,E00134,P014,Lord Voldemort,Ataque,Estupefaca,3,2,2,0,treino,12.37,86.87,89.29,89.93,1,0,271.72
134,E00135,P015,Lord Voldemort,Ataque,Bombarda,3,9,10,0,duelo_real,11.65,79.78,92.41,86.58,0,0,263.12
135,E00136,P016,Lord Voldemort,Ataque,Confringo,5,2,4,0,treino,14.73,79.21,98.74,73.52,0,0,250.73999999999998
136,E00137,P017,Lord Voldemort,Ataque,Expelliarmus,2,7,9,1,missao,12.14,81.96,86.08,74.53,0,1,233.43
137,E00138,P018,Lord Voldemort,Ataque,Estupefaca,3,7,1,1,missao,11.7,88.05,96.7,79.25,1,0,269.3
138,E00139,P019,Lord Voldemort,Ataque,Bombarda,4,9,6,0,duelo_real,13.24,77.14,90.7,79.51,1,0,258.11
139,E00140,P020,Lord Voldemort,Ataque,Confringo,5,10,7,1,duelo_real,13.85,78.53,87.63,76.36,0,1,235.67
140,E00141,P021,Lord Voldemort,Defesa,Protego,2,4,3,0,exame,10.64,86.06,90.14,78.63,1,0,261.19
141,E00142,P022,Lord Voldemort,Defesa,Finite Incantatem,4,6,5,1,exame,14.23,82.49,82.15,75.62,1,0,249.03
142,E00143,P023,Lord Voldemort,Defesa,Protego Maxima,4,6,9,1,exame,15.64,77.25,86.44,83.63,1,0,258.68
143,E00144,P024,Lord Voldemort,Defesa,Expecto Patronum,5,6,7,0,exame,15.01,77.96,77.55,69.71,0,0,227.20999999999998
144,E00145,P025,Lord Voldemort,Defesa,Protego,2,9,9,1,duelo_real,11.43,81.85,92.52,73.78,1,1,249.71999999999997
145,E00146,P026,Lord Voldemort,Defesa,Finite Incantatem,2,7,4,0,missao,12.49,80.81,84.39,77.28,1,0,247.99
146,E00147,P027,Lord Voldemort,Defesa,Protego Maxima,4,9,10,0,duelo_real,14.12,77.03,90.03,78.28,1,1,249.22000000000003
147,E00148,P028,Lord Voldemort,Defesa,Expecto Patronum,5,4,6,1,exame,13.87,82.84,93.49,66.4,1,0,254.86
148,E00149,P029,Lord Voldemort,Defesa,Protego,2,2,1,0,treino,12.63,82.59,84.49,76.33,1,0,245.77999999999997
149,E00150,P030,Lord Voldemort,Defesa,Finite Incantatem,3,8,8,1,missao,12.32,81.82,94.45,71.96,1,0,259.90999999999997
150,E00151,P031,Lord Voldemort,Defesa,Protego Maxima,3,7,4,1,missao,12.58,82.27,90.91,79.88,0,1,240.48
151,E00152,P032,Lord Voldemort,Defesa,Expecto Patronum,5,8,9,0,missao,14.82,79.68,86.47,77.64,0,1,237.97000000000003
152,E00153,P033,Lord Voldemort,Defesa,Protego,2,9,2,0,duelo_real,10.79,82.2,93.32,82.28,1,0,263.00999999999993
153,E00154,P034,Lord Voldemort,Defesa,Finite Incantatem,3,4,9,1,exame,12.69,78.27,83.17,75.43,1,1,239.18
154,E00155,P035,Lord Voldemort,Defesa,Protego Maxima,4,5,1,0,exame,12.03,76.67,85.18,79.23,1,0,248.05000000000004
155,E00156,P036,Lord Voldemort,Defesa,Expecto Patronum,4,9,9,1,duelo_real,14.9,80.81,89.09,77.43,1,1,249.43000000000004
156,E00157,P037,Lord Voldemort,Defesa,Protego,2,7,1,0,missao,11.24,78.17,82.98,80.92,1,1,235.82999999999998
157,E00158,P038,Lord Voldemort,Defesa,Finite Incantatem,3,6,5,0,exame,12.95,79.12,86.33,81.62,1,0,255.12
158,E00159,P039,Lord Voldemort,Defesa,Protego Maxima,4,3,4,1,treino,14.04,77.08,86.3,74.25,1,0,245.59
159,E00160,P040,Lord Voldemort,Defesa,Expecto Patronum,5,3,8,1,treino,17.49,78.49,81.02,72.06,0,0,232.07999999999998
160,E00161,P041,Lord Voldemort,Encantamento,Wingardium Leviosa,1,8,1,0,missao,9.35,84.36,85.59,87.76,1,0,261.35999999999996
161,E00162,P042,Lord Voldemort,Encantamento,Accio,2,7,3,0,missao,10.11,77.97,94.96,71.03,1,0,250.85000000000002
162,E00163,P043,Lord Voldemort,Encantamento,Muffliato,3,1,3,0,treino,14.13,74.88,80.9,73.05,1,0,233.7
163,E00164,P044,Lord Voldemort,Encantamento,Feitico de Desilusao,4,9,2,0,duelo_real,12.0,73.78,83.03,76.79,1,1,231.60000000000002
164,E00165,P045,Lord Voldemort,Encantamento,Wingardium Leviosa,1,4,8,1,exame,12.18,86.03,93.06,77.33,1,0,264.24
165,E00166,P046,Lord Voldemort,Encantamento,Accio,2,9,6,1,duelo_real,10.51,84.51,88.84,70.36,1,0,253.20000000000005
166,E00167,P047,Lord Voldemort,Encantamento,Muffliato,3,3,1,1,treino,12.59,79.66,88.88,71.44,1,0,244.39000000000001
167,E00168,P048,Lord Voldemort,Encantamento,Feitico de Desilusao,5,9,10,0,duelo_real,15.26,76.9,76.91,70.16,0,1,218.71
168,E00169,P049,Lord Voldemort,Encantamento,Wingardium Leviosa,1,4,8,0,exame,11.76,75.19,77.22,73.58,0,0,224.23000000000002
169,E00170,P050,Lord Voldemort,Encantamento,Accio,2,2,2,0,treino,11.33,79.87,85.64,77.93,1,0,248.10999999999999
170,E00171,P051,Lord Voldemort,Encantamento,Muffliato,3,5,10,1,exame,13.91,69.97,91.22,73.89,1,1,237.17
171,E00172,P052,Lord Voldemort,Encantamento,Feitico de Desilusao,4,10,7,1,duelo_real,15.26,71.59,87.76,73.24,0,0,232.33000000000004
172,E00173,P053,Lord Voldemort,Encantamento,Wingardium Leviosa,1,5,3,0,exame,9.36,85.88,84.78,79.87,0,1,236.17000000000002
173,E00174,P054,Lord Voldemort,Encantamento,Accio,2,1,7,1,treino,12.98,77.64,89.5,80.22,1,0,255.38000000000002
174,E00175,P055,Lord Voldemort,Encantamento,Muffliato,3,1,7,0,treino,13.37,73.57,86.33,64.4,1,0,233.92999999999998
175,E00176,P056,Lord Voldemort,Encantamento,Feitico de Desilusao,4,5,10,1,exame,15.0,68.25,91.48,77.94,0,0,240.67000000000002
176,E00177,P057,Lord Voldemort,Encantamento,Wingardium Leviosa,1,2,2,1,treino,12.55,76.69,81.47,76.61,1,0,236.21999999999997
177,E00178,P058,Lord Voldemort,Encantamento,Accio,2,4,2,0,exame,11.72,76.18,95.77,74.18,1,0,250.41
178,E00179,P059,Lord Voldemort,Encantamento,Muffliato,4,4,10,0,exame,16.11,71.53,88.82,77.19,1,0,249.42999999999995
179,E00180,P060,Lord Voldemort,Encantamento,Feitico de Desilusao,4,6,9,0,exame,12.52,77.28,88.87,76.84,1,1,247.47
180,E00181,P061,Lord Voldemort,Transfiguracao,Reparifarge,3,1,5,0,treino,12.63,73.37,90.2,71.98,1,0,243.92000000000002
181,E00182,P062,Lord Voldemort,Transfiguracao,Vera Verto,3,2,6,0,treino,13.04,81.78,77.14,73.22,1,0,241.10000000000002
182,E00183,P063,Lord Voldemort,Transfiguracao,Duro,4,3,9,0,treino,14.82,79.17,86.66,69.79,0,0,237.8
183,E00184,P064,Lord Voldemort,Transfiguracao,Piertotum Locomotor,5,6,2,1,exame,14.16,80.51,80.54,75.21,1,0,244.1
184,E00185,P065,Lord Voldemort,Transfiguracao,Reparifarge,2,7,10,0,missao,12.16,77.8,93.25,78.69,1,0,261.58
185,E00186,P066,Lord Voldemort,Transfiguracao,Vera Verto,3,9,1,0,duelo_real,11.76,89.89,87.44,85.09,1,0,267.65999999999997
186,E00187,P067,Lord Voldemort,Transfiguracao,Duro,4,9,9,1,duelo_real,12.63,89.22,86.16,73.03,1,1,252.77999999999997
187,E00188,P068,Lord Voldemort,Transfiguracao,Piertotum Locomotor,5,9,2,1,duelo_real,13.78,80.99,82.04,69.8,0,0,231.04999999999998
188,E00189,P069,Lord Voldemort,Transfiguracao,Reparifarge,2,10,6,1,duelo_real,10.17,79.29,100.0,88.91,1,0,278.03000000000003
189,E00190,P070,Lord Voldemort,Transfiguracao,Vera Verto,3,2,7,1,treino,14.72,84.19,86.86,71.12,1,0,250.45000000000002
190,E00191,P071,Lord Voldemort,Transfiguracao,Duro,4,10,2,1,duelo_real,11.48,77.86,83.76,92.15,0,0,252.29
191,E00192,P072,Lord Voldemort,Transfiguracao,Piertotum Locomotor,4,8,8,1,missao,13.99,88.43,93.14,75.52,1,0,269.09999999999997
192,E00193,P073,Lord Voldemort,Transfiguracao,Reparifarge,2,7,2,1,missao,12.47,87.09,85.16,74.88,1,1,240.66
193,E00194,P074,Lord Voldemort,Transfiguracao,Vera Verto,3,2,4,0,treino,13.12,80.41,89.6,84.23,1,1,251.12
194,E00195,P075,Lord Voldemort,Transfiguracao,Duro,4,8,6,1,missao,12.5,78.7,87.91,72.6,0,0,240.71
195,E00196,P076,Lord Voldemort,Transfiguracao,Piertotum Locomotor,5,7,8,1,missao,15.9,80.04,92.35,80.26,1,1,254.74999999999997
196,E00197,P077,Lord Voldemort,Transfiguracao,Reparifarge,2,10,4,0,duelo_real,9.76,90.02,86.0,86.82,1,0,271.08
197,E00198,P078,Lord Voldemort,Transfiguracao,Vera Verto,3,8,4,1,missao,12.92,82.78,87.88,81.2,0,0,248.94000000000003
